stt,ngay,loai_thong_bao,token
1,2025-09-30 09:00:00,addition,EDEN
2,2025-09-30 06:00:09,listing,2Z
3,2025-09-29 11:00:00,addition,FF
4,2025-09-29 06:00:07,listing,TRUTH
5,2025-09-28 06:00:04,listing,VFY
6,2025-09-27 09:00:00,addition,GOATED
7,2025-09-26 10:00:00,addition,MIRA
8,2025-09-25 11:45:00,addition,XPL
9,2025-09-25 06:00:07,listing,LIGHT
10,2025-09-24 07:25:38,addition,GAIN
11,2025-09-24 06:01:05,listing,HANA
12,2025-09-23 10:45:48,addition,RIVER
13,2025-09-23 08:45:15,listing,COAI
14,2025-09-22 09:59:59,listing,XAN
15,2025-09-21 08:00:00,addition,NUMI
16,2025-09-21 03:00:39,listing,BLESS
17,2025-09-20 13:00:00,addition,FROGGIE
18,2025-09-19 12:00:00,addition,AOP
19,2025-09-19 11:30:00,addition,DL
20,2025-09-19 11:00:00,addition,JOJO
21,2025-09-19 08:00:00,addition,ASTER
22,2025-09-18 10:00:00,addition,BARD
23,2025-09-17 11:00:00,addition,MAIGA
24,2025-09-16 14:25:00,addition,STBL
25,2025-09-16 11:00:04,listing,AIA
26,2025-09-16 11:00:00,addition,VLR
27,2025-09-15 12:30:01,addition,ZKC
28,2025-09-14 07:00:00,addition,ALEO
29,2025-09-13 14:00:01,addition,ZEUS
30,2025-09-12 10:00:00,addition,AA
31,2025-09-11 10:30:00,addition,HOLO
32,2025-09-10 09:30:04,listing,UB
33,2025-09-09 11:00:01,addition,PINGPONG
34,2025-09-09 03:00:46,addition,SWTCH
35,2025-09-08 10:01:58,addition,POP
36,2025-09-08 07:20:49,addition,LINEA
37,2025-09-07 13:00:02,listing,AVNT
38,2025-09-07 10:00:01,addition,SAROS
39,2025-09-06 10:00:00,addition,STAR
40,2025-09-05 13:00:03,addition,MIRROR
41,2025-09-04 14:00:02,addition,OPEN
42,2025-09-03 15:00:03,addition,BOOST
43,2025-09-03 10:10:00,addition,BOT
44,2025-09-03 09:02:39,addition,SHARDS
45,2025-09-03 03:00:02,addition,GATA
46,2025-09-02 18:00:41,addition,ZENT
47,2025-09-02 18:00:40,addition,FOREST
48,2025-09-02 18:00:40,addition,WOD
49,2025-09-02 10:15:12,addition,TRADOOR
50,2025-09-02 07:00:02,addition,U
51,2025-09-01 08:00:02,addition,MCH
52,2025-09-01 07:00:03,addition,SOMI
